Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
1,A_100kB,102400,4.556800365447998,67415.72493044643,102400,102400,0,1,0.3333333333333333
2,A_100kB,102400,5.0438456535339355,60905.908130785574,762,365,397,1,0.00248046875
3,A_100kB,102400,5.024536609649658,61139.96650159146,1131,740,391,1,0.003681640625
4,A_100kB,102400,5.012544870376587,61286.23442664971,521,521,0,1,0.0016959635416666666
5,A_100kB,102400,5.097605228424072,60263.59167380466,102400,102400,0,1,0.3333333333333333
6,A_100kB,102400,5.013116121292114,61279.25078280856,102400,102400,0,1,0.3333333333333333
7,A_100kB,102400,5.010437726974487,61312.008399214305,726,348,378,1,0.00236328125
8,A_100kB,102400,5.0096094608306885,61322.14544905072,934,750,184,1,0.0030403645833333333
9,A_100kB,102400,5.0097692012786865,61320.190144007174,2119,1364,755,1,0.0068977864583333335
10,A_100kB,102400,5.2528440952301025,58482.6037915262,1104,864,240,1,0.00359375
11,A_100kB,102400,5.0194385051727295,61202.06466986662,5240,2963,2277,1,0.017057291666666665
12,A_100kB,102400,5.019093751907349,61206.26853866962,4813,3319,1494,1,0.015667317708333333
13,A_100kB,102400,5.021845817565918,61172.72635600338,3536,2141,1395,1,0.011510416666666667
14,A_100kB,102400,5.014173269271851,61266.33115823918,4538,2990,1548,1,0.014772135416666667
15,A_100kB,102400,2.51477313041687,122158.13676563179,1627,982,645,1,0.005296223958333333
16,A_100kB,102400,5.167883396148682,59444.06567472827,1771,1420,351,1,0.005764973958333333
17,A_100kB,102400,5.012713670730591,61284.170646680155,102400,102400,0,1,0.3333333333333333
18,A_100kB,102400,5.011251211166382,61302.055525669486,1951,1140,811,1,0.006350911458333333
19,A_100kB,102400,5.0199971199035645,61195.25423271585,1137,611,526,1,0.003701171875
20,A_100kB,102400,5.015274286270142,61252.88119156182,1882,1227,655,1,0.006126302083333333
21,A_100kB,102400,5.142324209213257,59739.52390041928,1861,1259,602,1,0.006057942708333333
22,A_100kB,102400,5.023929595947266,61147.35370651173,4236,2610,1626,1,0.0137890625
23,A_100kB,102400,5.021080732345581,61182.047526348484,2656,1266,1390,1,0.008645833333333333
24,A_100kB,102400,5.017376661300659,61227.21508421978,4078,2697,1381,1,0.013274739583333334
25,A_100kB,102400,5.012489318847656,61286.91363887506,3611,2522,1089,1,0.011754557291666667
26,A_100kB,102400,5.082431793212891,60443.50667140023,2609,1893,716,1,0.008492838541666667
27,A_100kB,102400,5.020312309265137,61191.412222114785,4914,3064,1850,1,0.01599609375
28,A_100kB,102400,3.524765968322754,87154.72254351682,3267,2229,1038,1,0.010634765625
29,A_100kB,102400,3.0116751194000244,102003.03413244631,3131,2059,1072,3,0.010192057291666667
30,A_100kB,102400,2.0084738731384277,152951.952280052,2185,1441,744,1,0.007112630208333333
31,A_100kB,102400,3.008666753768921,102105.02695759649,1396,818,578,1,0.004544270833333333
32,A_100kB,102400,5.01230001449585,61289.22832064333,2049,1641,408,1,0.006669921875
33,A_100kB,102400,5.099040508270264,60246.628655282206,3217,1997,1220,1,0.010472005208333333
